sgRNA	Gene	49117_9
RASIP1_5	RASIP1	6591
IMPAD1_4	IMPAD1	6993
AKAP3_3	AKAP3	8870
CLRN1_2	CLRN1	5762
MAGEB6_3	MAGEB6	6557
NSRP1_4	NSRP1	3184
RAB24_1	RAB24	18009
ZSWIM5_1	ZSWIM5	36476
NAB2_4	NAB2	15371
DERA_4	DERA	19221
OR6C65_5	OR6C65	2272
ERICH1_4	ERICH1	13600
C1orf87_4	C1orf87	1640
MED28_2	MED28	19650
FASTK_5	FASTK	28817
AKNA_5	AKNA	11927
CDRT15_5	CDRT15	12929
ATP11A_3	ATP11A	2431
AMZ1_4	AMZ1	13006
CDH16_2	CDH16	8784
TSPO2_4	TSPO2	996
PBX1_5	PBX1	7776
EVPLL_3	EVPLL	6552
LGSN_1	LGSN	9100
STC_05532	STC	15541
ZNF780A_5	ZNF780A	8854
STC_03443	STC	17288
FASTKD5_1	FASTKD5	2281
EEF2_2	EEF2	27235
STC_00732	STC	7917
PNPLA3_3	PNPLA3	20336
KLRG2_5	KLRG2	9371
CAMKV_1	CAMKV	13496
RNF111_4	RNF111	7322
METTL15_5	METTL15	16410
PPM1D_2	PPM1D	26238
PRPF18_2	PRPF18	31312
ARMCX4_5	ARMCX4	15169
DUS1L_1	DUS1L	7434
SIRT7_1	SIRT7	14416
KIF2B_3	KIF2B	7160
PABPC1L_4	PABPC1L	34895
PAPSS2_2	PAPSS2	10354
PLEKHO1_1	PLEKHO1	11352
SRXN1_4	SRXN1	21702
SEMA6B_3	SEMA6B	10871
PI4KB_1	PI4KB	14832
FOXR1_4	FOXR1	20160
STC_05145	STC	9772
CEP19_1	CEP19	7317
KCTD13_3	KCTD13	15150
CDCA8_5	CDCA8	8987
CABS1_3	CABS1	17165
LPGAT1_4	LPGAT1	10872
GINM1_4	GINM1	15528
COL8A1_5	COL8A1	12586
FEM1C_2	FEM1C	19303
SHROOM2_4	SHROOM2	2253
CCDC121_4	CCDC121	20148
ANP32B_2	ANP32B	5080
CHRM1_1	CHRM1	10046
PLEKHB1_1	PLEKHB1	14358
PTGFR_5	PTGFR	23042
FGF5_4	FGF5	26627
OR4D9_3	OR4D9	7800
CHST6_1	CHST6	13446
ADAM23_2	ADAM23	49417
TEX38_2	TEX38	16599
LBX1_5	LBX1	10374
ICOS_2	ICOS	10515
EIF6_3	EIF6	3154
CLK3_5	CLK3	41568
MRGPRX3_5	MRGPRX3	6212
OR4Q3_4	OR4Q3	13271
CEP250_2	CEP250	4814
THAP3_3	THAP3	4489
MAFK_4	MAFK	236
PRRC1_1	PRRC1	14101
SYN1_2	SYN1	9100
STC_01775	STC	13009
SERPINB5_2	SERPINB5	33777
MGAT4A_3	MGAT4A	29845
STC_09707	STC	9781
LRRC1_2	LRRC1	56580
ZNF707_4	ZNF707	7241
UGT2B11_3	UGT2B11	36885
STC_01629	STC	10894
NSDHL_1	NSDHL	22139
IFFO2_3	IFFO2	15619
VARS_4	VARS	10456
CBR1_4	CBR1	24183
PLP1_2	PLP1	10027
MIDN_3	MIDN	12582
RPS27_2	RPS27	10506
SEC24B_2	SEC24B	7922
HNF1A_5	HNF1A	25401
ACO2_2	ACO2	5671
ERF_4	ERF	5659
HYAL4_5	HYAL4	9244
HSPA1L_5	HSPA1L	8859
PIM1_1	PIM1	25437
PHKA1_2	PHKA1	17721
MRGPRX3_1	MRGPRX3	12315
KMT2D_2	KMT2D	5700
LCN9_3	LCN9	4475
COPB1_1	COPB1	39563
APBB3_4	APBB3	19427
SENP3_2	SENP3	8723
PPP1R13B_3	PPP1R13B	20030
SLC25A42_2	SLC25A42	23200
P4HA3_1	P4HA3	18135
TBC1D2B_5	TBC1D2B	20491
STC_04473	STC	17396
SMYD2_5	SMYD2	12026
CDKL1_5	CDKL1	5500
ACOT2_2	ACOT2	9681
CELA3B_3	CELA3B	12344
CD38_1	CD38	12914
RAB9A_5	RAB9A	11014
USF2_3	USF2	8864
NBPF10_4	NBPF10	7557
NUDT1_2	NUDT1	4276
ERMP1_4	ERMP1	16596
ZC3H6_3	ZC3H6	5352
XDH_1	XDH	20929
STC_04978	STC	5756
NIM1K_1	NIM1K	18230
ERGIC3_3	ERGIC3	11218
RELN_2	RELN	21325
COL6A3_2	COL6A3	37019
STC_08101	STC	14507
STC_08044	STC	9130
C8B_1	C8B	14374
C7orf33_4	C7orf33	17702
LHX1_5	LHX1	16929
CPA2_2	CPA2	4022
GPR161_2	GPR161	17487
BZW1_4	BZW1	3801
KCNE5_5	KCNE5	55994
PGM5_1	PGM5	4048
HIST1H4L_2	HIST1H4L	14125
PADI3_3	PADI3	4392
PPP1R11_3	PPP1R11	19666
EXOC8_2	EXOC8	20894
GPX1_1	GPX1	20066
CBLN2_5	CBLN2	6312
HSPB1_5	HSPB1	10828
ARHGDIB_5	ARHGDIB	7231
ST8SIA1_3	ST8SIA1	6884
ASB2_2	ASB2	8227
SDF4_1	SDF4	13694
TCF21_2	TCF21	5691
SMS_3	SMS	15109
CYP11B1_2	CYP11B1	17031
TPPP3_5	TPPP3	5936
TMEM91_3	TMEM91	19586
NTM_3	NTM	6459
CAPN12_4	CAPN12	10317
ZNF397_2	ZNF397	11803
AK7_1	AK7	12984
ADAM12_2	ADAM12	20080
LLGL1_2	LLGL1	12882
MICU1_3	MICU1	17287
GAN_1	GAN	14085
HAS3_2	HAS3	11096
FIBIN_2	FIBIN	9466
GPM6A_5	GPM6A	9538
NFIX_4	NFIX	9346
CLCNKA_2	CLCNKA	8936
SOX2_3	SOX2	17931
IQCG_3	IQCG	12723
GPAA1_2	GPAA1	10654
LRCH1_4	LRCH1	14054
AADAT_2	AADAT	15310
STC_04604	STC	4805
ELMOD2_3	ELMOD2	12579
RBM22_3	RBM22	4528
KIAA0355_2	KIAA0355	6695
NABP1_5	NABP1	14715
ZNF787_3	ZNF787	4463
NOS1_1	NOS1	20684
JAK2_3	JAK2	14009
PRL_1	PRL	11316
HSD17B7_1	HSD17B7	30748
PEX1_1	PEX1	7725
DDX60L_5	DDX60L	22981
DSP_4	DSP	7682
MGME1_1	MGME1	8689
CEP95_5	CEP95	26397
ABCA2_1	ABCA2	5873
PFKFB2_3	PFKFB2	11370
GOLGA6A_2	GOLGA6A	5687
SNCA_4	SNCA	30236
RHPN2_5	RHPN2	16030
CCER2_1	CCER2	18398
EOMES_2	EOMES	12191
TAF11_4	TAF11	41979
DLK1_3	DLK1	22123
DYNLT3_5	DYNLT3	27499
DLG1_1	DLG1	33473
PIWIL3_1	PIWIL3	2186
GNE_5	GNE	6170
HCK_2	HCK	24989
RPL23A_2	RPL23A	7261
TRIM56_4	TRIM56	9182
PIAS1_2	PIAS1	6647
MS4A12_2	MS4A12	12380
GPR173_1	GPR173	6507
KIF14_2	KIF14	9056
AIMP2_3	AIMP2	5488
SIM1_3	SIM1	5585
FAM109B_5	FAM109B	6278
ANK2_3	ANK2	11310
LHX4_3	LHX4	8308
LZTS3_5	LZTS3	7044
TOP3B_4	TOP3B	5510
INSRR_4	INSRR	10395
PELO_1	PELO	27691
RHOQ_5	RHOQ	5935
BCAT2_5	BCAT2	22413
CCNI2_1	CCNI2	14712
MUC13_5	MUC13	590
CETN1_3	CETN1	2143
FAM86B2_2	FAM86B2	24057
NSDHL_3	NSDHL	36986
STC_09680	STC	7087
CHM_5	CHM	11848
MAGEC2_2	MAGEC2	11900
STC_05411	STC	11752
TXN2_5	TXN2	21959
ZNF100_4	ZNF100	12769
